nationality,sex,gold,silver,bronze
MAS,male,0,4,1
MAW,female,0,0,0
MAW,male,0,0,0
MDA,female,0,0,0
MDA,male,0,0,1
MDV,female,0,0,0
MDV,male,0,0,0
MEX,female,0,2,0
MEX,male,0,1,2
MGL,female,0,1,0
MGL,male,0,0,1
MHL,female,0,0,0
MHL,male,0,0,0
MKD,female,0,0,0
MKD,male,0,0,0
MLI,female,0,0,0
MLI,male,0,0,0
MLT,female,0,0,0
MLT,male,0,0,0
MNE,female,0,0,0
MNE,male,0,0,0
MON,male,0,0,0
MOZ,female,0,0,0
MOZ,male,0,0,0
MRI,female,0,0,0
MRI,male,0,0,0
MTN,female,0,0,0
MTN,male,0,0,0
MYA,female,0,0,0
MYA,male,0,0,0
NAM,female,0,0,0
NAM,male,0,0,0
NCA,female,0,0,0
NCA,male,0,0,0
NED,female,7,22,2
NED,male,2,3,11
NEP,female,0,0,0
NEP,male,0,0,0
NGR,female,0,0,0
NGR,male,0,0,18
NIG,female,0,0,0
NIG,male,0,1,0
NOR,female,0,0,14
NOR,male,0,0,5
NRU,male,0,0,0
NZL,female,1,21,2
NZL,male,5,4,3
OMA,female,0,0,0
OMA,male,0,0,0
PAK,female,0,0,0
PAK,male,0,0,0
PAN,female,0,0,0
PAN,male,0,0,0
PAR,female,0,0,0
PAR,male,0,0,0
PER,female,0,0,0
PER,male,0,0,0
PHI,female,0,1,0
PHI,male,0,0,0
PLE,female,0,0,0
PLE,male,0,0,0
PLW,female,0,0,0
PLW,male,0,0,0
PNG,female,0,0,0
PNG,male,0,0,0
POL,female,3,2,8
POL,male,0,1,2
POR,female,0,0,1
POR,male,0,0,0
PRK,female,1,2,1
PRK,male,1,1,1
PUR,female,1,0,0
PUR,male,0,0,0
QAT,female,0,0,0
QAT,male,0,1,0
ROT,female,0,0,0
ROT,male,0,0,0
ROU,female,4,0,9
ROU,male,0,2,2
RSA,female,1,1,0
RSA,male,1,6,14
RUS,female,41,19,22
RUS,male,11,10,12
RWA,female,0,0,0
RWA,male,0,0,0
SAM,female,0,0,0
SAM,male,0,0,0
SEN,female,0,0,0
SEN,male,0,0,0
SEY,female,0,0,0
SEY,male,0,0,0
SIN,female,0,0,0
SIN,male,1,0,0
SKN,female,0,0,0
SKN,male,0,0,0
SLE,female,0,0,0
SLE,male,0,0,0
SLO,female,1,0,1
SLO,male,0,2,0
SMR,female,0,0,0
SMR,male,0,0,0
SOL,female,0,0,0
SOL,male,0,0,0
SOM,female,0,0,0
SOM,male,0,0,0
SRB,female,0,12,13
SRB,male,14,14,0
SRI,female,0,0,0
SRI,male,0,0,0
SSD,female,0,0,0
SSD,male,0,0,0
STP,female,0,0,0
STP,male,0,0,0
SUD,female,0,0,0
SUD,male,0,0,0
SUI,female,0,3,2
SUI,male,6,0,0
SUR,female,0,0,0
SUR,male,0,0,0
SVK,female,0,0,0
SVK,male,3,5,0
SWE,female,2,20,3
SWE,male,0,3,0
SWZ,female,0,0,0
SWZ,male,0,0,0
SYR,female,0,0,0
SYR,male,0,0,0
TAN,female,0,0,0
TAN,male,0,0,0
TGA,female,0,0,0
TGA,male,0,0,0
THA,female,2,1,1
THA,male,0,1,1
TJK,female,0,0,0
TJK,male,1,0,0
TKM,female,0,0,0
TKM,male,0,0,0
TLS,female,0,0,0
TLS,male,0,0,0
TOG,female,0,0,0
TOG,male,0,0,0
TPE,female,1,0,4
TPE,male,0,0,0
TTO,female,0,0,0
TTO,male,0,0,1
TUN,female,0,0,2
TUN,male,0,0,1
TUR,female,0,0,1
TUR,male,1,3,3
TUV,male,0,0,0
UAE,female,0,0,0
